ms,split,text,Topic,Count,t1,t2,t3,t4
006,3,سن العشرين من عمره فتحول الي المذهب الشافعي واستقر منذ ذلك الوقت علي مذهب الشافعية وكانت ظاهرة التحول من مذهب الي اخر منتشرة بين المعاصرين ولها اهميتها وخطورتها في حياة الفرد ويخاصة اذا كان من المشتغلين بالعلم او المتولين وظاءف الدولة هيوخه لقد اكثر الامام المقريزي من الشيوخ الذين سمع متهم واخذ عنهم اكثاره من حفظ القران والحديث وجمعه وتدوينه,119,16,المقريزي,حياته,دراسته,بالعلم
008,2,الاساتذة وغيرهم من الاشياخ الذين بلغ عددهم ستماءة شيخ التكوين الثقافي اللازم في عصره وقد انكب علي الدرس والتحصيل تحت ارشادهم واظهر نجابة وقدرة كييرة رحلاته العلمية سن الصحابة الكرام رضوان الله عليهم والتايعون من بعدهم الرحلة في طلب العلم اقتداء برسول الله من سلك طريقا يلتمس قيه علما سهل الله له طريقا الي الجنة فاصبح ذلك من اداب طالب العلم,119,16,المقريزي,حياته,دراسته,بالعلم
008,3,ولم يكتف بالاخذ عن شيوخه بالقاهرة بل كانت له رحلات علمية بين القاهرة والشام ومكة وذلك تظرا لنشاته الدينية والعلمية تلك النشاة التي اتاحت له ان يرضي طموحه العلصي في القاهرة فتتلمذ علي يد مجموعة من كبار علماء وشيوخ عصره ولم يكتف بذلك فتنقل خارج القاهرة ومصر حيث التقي بكثير من العلماء يقول السخاوي في ذلك تشا المقريزي بالقاهرة نشاة حستة,119,16,المقريزي,حياته,دراسته,بالعلم
009,1,وجعل من بيته مدرسة صغيرة لتلاميذه وجعل منها ايضا مكانا للتاليف في مختلف نواحي دراسته فاخذ يعلم الناس فون العلم ويشري المكتبة العلمية بمصنفاته العظيمة زواجه تزوج الامام المقريزي زوجة لا تعرف عنها شيءا وانجب منها وكانت له ابنة ماتت وهي في سن السادسة بالطاعون سنة ه هذا الطاعون الذي اجتاح القاهرة وساءر اليلا المصرية وهو الذي دفع الامام المقريزي,119,16,المقريزي,حياته,دراسته,بالعلم
009,4,هجر دمشق بعد ان اقام بها عشر ستوات وعاد الي القاهرة فاقام بها عاكفا علي الاشتفال بالتاريخ حتي اشتهر به ذكره ويعد فيه صيته وكان يضطرم شففا الي البحث والكتابة وانفق الاعوام في التنقيب في مختلف المصادر التي استطاع ان يصل اليها سواء في القاهرة او دمشق او مكة وكاتت توجهه في التبر المسيوك للسخاوي ص طبعة مكسبة الكليات الازهرية,119,16,المقريزي,حياته,دراسته,بالعلم
010,2,وغيرها وتقلب في عدة وظاءف قضاءية وادارية سواء في القاهرة او دمشق التحق المقريزي في بداية حياته بالوظاءف العامة بعد ان غدا بحكم طبقته وتعليمه من اهل القلم والمعرفة وكان اول ما وليه من هذه الوظاءف وظيفة موقع اي كاتب بديوان الاتشاء بالقلعة وهي وظيفة لها اهميتها في ذلك العصر لانه لا يليها الا من يتمتع مواصفات معينة ومستوي راق من,119,16,المقريزي,حياته,دراسته,بالعلم
010,3,العلم والاسلوب وظل يعمل موقعا من سنة ه م هذه الوظيفة وقتذاك لا ييلفها سوي اصحاب المءهلات العالية والموهبة والمعرفة ل والتفوق في اللغة والادب والتاريخ وتقويم اليلدان والحساب م عين المقريزي بعد ذلك ناءبا من نواب الحكم اي قاضيا عند قاضي القضاة الشافعي بسبب ما اشتهر عنه من الحماسة للمذهب الشافعي منذ ايام دراسته وتحوله عن المذهب الحنفي الذي نشا,119,16,المقريزي,حياته,دراسته,بالعلم
012,3,عنوانه امتاع الاسماع بما للرسول من الابناء والحفدة ل والاخوال والاتباع وكذلك كتاب النزاع والتخاصم فيما بين بني امية ويني هاشم ارحل المقريزي عن دمشق بعد اقامته بها نحو عشرسنوات ورجع الي القاهرة معتزلاكل عمل رسمي ليتوفر علي الدرس والاشتغال بالعلم غير انه تراءي ان يحج اولا كانما اراد ان يفصل بين مرحلتين من حياته ومن اجل ذلك رحل المقريزي,119,16,المقريزي,حياته,دراسته,بالعلم
013,1,القاهرة سنة ه م ليستقر بها حيث امضي بقية حياته الطويلة بحارة برجوان التي ما يرح منذ شبابه يفاخر بها علي غيرها ثم انه جعل من داره بها مكانا لدراسة تلاميذه وللتاليف الكثير في مختلف نواحي دراسته لقد بدا المقريزي نشاطه العلمي باكمال كتابه المواعظ والاعتبار يذكر الخطط والاثار الي ان توفي سنة ه م وهو مححود السيرة في حياته,119,16,المقريزي,حياته,دراسته,بالعلم
038,1,بريق الجاه ولم يصفر امام السلاطين الذين عاصرهم والذين عرضوا عليه الوظاءف والمناصب وقد اثر في مرحلة معينة ان يعتزل ويبتعد عن الخدمة الحكومية ويترك المتاصب للراغبين فيها واختار المقريزي ان يقضي المرحلة الاخيرة في حياته عاكفا في بيته بالقاهرة علي الاشتغال بالعلم والتاليف فلم يترك داره الا ليتجه الي مكة حيث اقام مجاورا بضع ستوات قليلة واصل خلالها الكتابة,119,16,المقريزي,حياته,دراسته,بالعلم
045,4,الاحتكار هذه اشدها علي عهد السلطان الاشرف برسباي ه م ه م لقد كان المقريزي شديد الايمان بان الكوارث الاقتصادية هي عادة الله عز وجل في الخلق اذا خالفوا امره واتوا محارمه ومع ذلك ذكر ان كل ازمة من الازمات وكل كارءة من الكوارث كان وراء حدوثها نقص النيل وعدم وفاءه ومع ذلك ارجع الامر ايضا فساد الخطط السلطانية وغلاء,119,16,المقريزي,حياته,دراسته,بالعلم
001,0,رف عبرال النجيي اكن اللم لفردوش اغاثة الامة بكن ب اه شف الفمة تقي الدين ايي العباس احمد بن علي المقريزي المتوفي سنة ه دراسة وتحقيق الدكتوركرم حلمي فرحات الطبعة الاولي ه م عين للدراسات والبحرث التاتية والاجتاهية رف برالم لنري كن اللت لفركوس اغاثة الامةبك به اهم كشف الغمة تقي,1,1657,الوافي,ترجمة,الدرر,المخطوط
001,1,الدين ابي العباس احمد بن علي المقريزي المتوفي سنة ه دراسة وتحقيق الدكتور كرم حلمي فرحات الطبعة الاولي ه م عين للدراسات والبحوث الانسانية والاجعماعية ما المشرف العام مكتونقاسم عيده قاسم اتشارون احمد ايراهيع الهواري ادشوقيحيدالقويحين فس شدوقاسه ادير التتقيدي حقوق النشر محفولة الناشرة عين الدراسات والبحوت الاتسانية والاجتماعية شارع ترحة,1,1657,الوافي,ترجمة,الدرر,المخطوط
001,2,المربوطية الهرم حمع تليفون وفاكس امدير الاتاج ه ال ت ال ه قم م له نق و ه اصميهالغلافمنيالعيوي مم الموقع الالكتروني تن تيتاا اا الين رف بر ال النجبري مقدمة المحقق اكن اللتم لفردوس الحمد لله وكفي وسلام علي عباده الذين اصطفي وبعد كم اكون سعيدا واتا اخط سوادا في,1,1657,الوافي,ترجمة,الدرر,المخطوط
005,0,الدين ابو العباس احمد بن علي المقريزي في القاهرة عام ه م في حارة برجوان والمقصود يالحارة الفندق او الخان او الوكالة علي حد المصطلح المصري في العصور الوسطي وهي اعظم حارات القاهرة حيوية وامتلاء بالصخب وضوضاء العمران والحياة انظر تزجمته في المتهل الحافي لابن تغري يردي ابو المحاسن جمال الدين يوسف بن الامير سيف الدينت ه طبعة القاهرة م والضوء,1,1657,الوافي,ترجمة,الدرر,المخطوط
012,4,واسرته حاجا الي مكة سنة ه م التي عرفها قبل ذلك وجاور فيها مدة قصيرة ابان طليه للعمل علي انه ظل مقيحا بمكة هذه المرة تحو خمس ستوات وقد اشتغل في تلي الستوات المكية من حياته ب تدريس الحديث وريما يرجع الي هذه الفترة تاليف كتابه الذي عنوانه الكلام بيناء الكعية لا بيت الله الحرام وكتاب ضوء الساري في معرقة,1,1657,الوافي,ترجمة,الدرر,المخطوط
016,2,اداب اللغة العربية وهو غير منشور تراجم ملوك الغرب وقد ذكر فيه المقريزي اخبار ابي حمو وهو موسي بن يوسف بن عيد الرحمن ومن خلفه علي تلمسان من بني زيان ومن هذا الكتاب تسخ مخطوطة منها في ليدن وفي فيينا تلخيص كتاب عجاءب المقدور في وقاءع تيعور لابن عربشاه شهاب الدين الانصاري المتوفي سنة ه وهذا الكتاب اي عجاءب المقدور,1,1657,الوافي,ترجمة,الدرر,المخطوط
016,3,لاين عربشاه يندد فيه بتيمور وقد نشره احمد الاتصاري ف كلكتا بالهند من م جني الازهار من الروض المعطار وهو موجز لكتاب الروض المعطار للمحميري المتوفي سنة ه وهو منسوب الي المقريزي وهذا امر غير مقيول لان الحميري توفيسنة ه والمقريزي توفي سنة ه فكيف يحدث ذلاك ولكن يقال ان هذا الكتاب م نسوب لاحد احفاد المقريزي الذي يلقب بشهاب,1,1657,الوافي,ترجمة,الدرر,المخطوط
019,1,المكتية ل الوطنية في باريس برقم مختصر الكامل في الضعفاء وهو اختصار لكتاب الكامل في الضعفاء لعيد الله ابن عدي الجرجاني المتوفي سنة ه ومنه نسخة بخط المقريزي كتب سنة ه وهي في مكتبة مرادملا باستامبول رقم في ورقة مجمع الفراءد ومنبع الفواءد وهو كالتذكرة تجمع الواتا من الاخيار والمواضيع قال اين تغري بردي ان المقريزي اكمل منه نحو الثماتين,1,1657,الوافي,ترجمة,الدرر,المخطوط
020,1,ايامه مما جعله شيخ المءرخين في القرن التاسع للهجرة المنهل الصافي لابن تقري بردي التبر المسبرك للخاوي ص المبحث الراليع سميةالكتابواهميته تسعية الحتاب وصحةنسبته للمءلف كتاب اغاءة الامة بكشف الغمة لتقي الدين احمد بن علي المقريزي قد كتبه ستة ه م وقد جاء في الصفحة السابعة والعشرين من النسخة المخطوطة المعتمدة في التحقيق التصريح بذلك قال ونحن الان في اواءل,1,1657,الوافي,ترجمة,الدرر,المخطوط
030,2,التالي الاسناد الي المصدر مصرحا باسم المءلف واسم كتابه كان يقول قد ذكر الاستاذ ابراهيم بن وصيف شاه في كتاب اخبار مصر لما قيل الاسلام ان اول غلاء وقع بمصر كان في زمن الملك السابع عشر من ملوك مصر قبل الطوفان واسمه افروس بن مناوش وقوله ايضا عن مصدر اخر حيث يقول وكتبت من خط حافظ المغرب محمد بن سعيد,1,1657,الوافي,ترجمة,الدرر,المخطوط
030,3,في كتابه الذي سماه جنا التحل وحيا المحل انظر المخطوطة ص انظر المخطوطة ص و قوله في نهاية الخبر الذي نقله من تاريخ دمشق لابن عساكر بعد ان انتهي من ذكر ما نقل قال رواه الحافظ ابن عساكر في تاريخ دمشق وقوله قفال الامير المختار عز الملك محمد بن عبيد الله بن احمد المسبحي في تاريخه الكبير من خلال هذا,1,1657,الوافي,ترجمة,الدرر,المخطوط
033,5,ه الذي لا يداتيه مءرخ معاصر اخر النجوم الزاهرة لاين تغري بردي مجالس الفوري لعبد الوهاب عزام ص اتظر المماليان المصريون الذين لمعوا في ميدان الفكر رصالة فكسوراه مححد محمد محود يقسم التاريخ كلية دار العلم جامعة القاهرة لعام م ص لكل هذه الاسباب السابقة ورثت القاهرة بفداد زعامتها للمدارس,1,1657,الوافي,ترجمة,الدرر,المخطوط
039,3,اربعة مجلدات وعمل له مقدمة في مجلد مته ستة اجزاء مخطوطة في مكتبة احمد الثالث يرقم من الي وهناك نسخة في مكتية فاتح باستامبول فيي ستة اجزاء بخط المءلف مصورة في دار الكتب بمصر تحت رقم تاريغ في مجلدا وتسخة الثة في الازهر رقم تاريخ اباظة الجزء الشاني فقط انظر في ذلك التاريخ العريي المءرخون شاكر مصطفي وهر كتاب يضم,1,1657,الوافي,ترجمة,الدرر,المخطوط
042,2,من هءلاء الحجاج بداهم بالرسول ثم الخلفاء الراشدين ومن عدهم الي ايامه في خمسة اجزاء قد طبع بلجنة التاليف والترجمة والنغر بالقاهرة م تحقيق ال الدين الشيال انظر المعجم الشامل للتراث العربي المطيوع محمد عيسي صالحية من هذا الكتاي تسخ مخطوطة عديدة في ليدن وفيينا اتظر التاريخ العريي والمءرخون شاكر مصطقي وهناك من هذه الكتب الصغيرة ما قصد به المقريزي,1,1657,الوافي,ترجمة,الدرر,المخطوط
046,1,اتظر كتاب السلوك لمعرقة دول الملرك للمقريزي حوادث ه ه ه انظر المخطوطة ص اتظر كتاب السلوك للمقريزي اتظر المخطوطة ص سر اضاع العتمع من غلاله سرده العاريخي ومن خلال معالمه لجوالب الا مصاو يتمة ال ا الده هسا ند سم الصرعال م ال ال لوا لمل تعت دق ال ال ال الاه الا الدلة اها الس ار م العصحا,1,1657,الوافي,ترجمة,الدرر,المخطوط
046,2,ال اله س له ال ال ال الا ال ا ال ا ال ل لاله ال ال ا الا ال ال ال ل ل الل الحر والمصحام لهر واغرا ذدود الخاحة والمسكنتة رهم السزال الذبين يتكلفون الناس ويحيشون منهم انظر المخطوطة ص الميحث السايع النقد التاريخيعندالرمامالمقريزي لم يكن الامام المقريزي في مادته التاريخية مجرد ناقل عن مصادره او راصدا لها,1,1657,الوافي,ترجمة,الدرر,المخطوط
057,0,ي ا انه قتيقيه ه و وي يوين ت ان خ ير ه من ه ه ل الكتاب فحد الهاءم الد امتاه انه بل ف س وي بر الم النجري اكن اللم لفروس الضسم الشاني حقيق كتاب اخاتةالامةيكشفالغملة لشيالديناحمد بن عليالمقريزي ه هقلمه رف برالم لنجبري بسم الله الرحمن الرحيم اكن الل الفركوس ص وصلي الله علي سيدتا محمد واله,1,1657,الوافي,ترجمة,الدرر,المخطوط
058,3,وهان وهو يقول الحق ويهدي الي سواء السبيل ما اءبته من تسختي ب و چ اما نسخة ا فكان تصها وعرف اوله غايته وهو كلام تاقص غير مقهرم الغلوات مفردها الغلاء والغالي والقلاء نقيض الرخص اتظر لسان العرب لابن منظور غلا في نسخة ا الستون وهو خطا تحوي ولعله تحريف من الناسخ وما تم اثباته من تخسي ب ما بين,1,1657,الوافي,ترجمة,الدرر,المخطوط
058,4,اامقوقسن زيادة يقيها السياق من ت ب و چ ما بين المعقوفتين زيادة من تسخة ب و ج وهي او الامور قلها وجلها ما بن المقرفن زيادة من نسة ج وهوغيرموجودفي نفي و به قدمة حكمية تشتمل عليقاعدةكلية ااعلم ايدك الله بروح منه ووفقك الي الفهم عته انه لم تزل الامور السالفة كلما كانت اصعب علي من شاهدها كانت اظرف,1,1657,الوافي,ترجمة,الدرر,المخطوط
059,3,في المقارنة والقياس اصعب من التي مضت مشاله لو ان رجلا قام من فراشه وهو بمصر في ايام الشتاء سحرا وبرز الي رحاب ا ا ا ال ل ا ال ا لا ا اه مابين الممقرفتين زبادة من تسته ب ونستة چ في نختي و چه ممن وما انته من تسخة ب وهر ما يتناسب مع السياق وتفقمع اللفة مايين,1,1657,الوافي,ترجمة,الدرر,المخطوط
059,4,المحقرفتن زيادة من تسخه ب وتسخة چه في تخة الحق وما انبته من تستة ب وتستهوچه ما بين المعقرفتين زيادة من تسخه ب ونسنه جم وهذه الزيادةليست موجودة پنستةه ا في نختي و جه مر وما ايبته من نسخة ب فان عجز عن احتمال ما وصل الي جسحه من اليرد ورجع الي فراشه فالتحف وقال هذا اليوم برده اشد من,1,1657,الوافي,ترجمة,الدرر,المخطوط
060,3,الحجول جع مقردها الحجل وهو القيد فالمقصود بريات الحجول اي صاحبات القيود اي التي شي في القيد ببطء شديد انظر لسان العرب لابن متظرر حجل في نسخة وا بل يخرجه من لحافه ونيه بالاطقال وما اءيته من تسخة ب وما يتقق مع الياق في تسخة ا الزي وما انيته من نستتي و چ وهو الصحيحح مابين الممقوفين زيادةمن تستدوب ومررمرجرد,1,1657,الوافي,ترجمة,الدرر,المخطوط
061,1,بن وصيف شاه في كتاب اخبار مصر لما قيل الاسلام وهو كتاب جليل الفاءدة رقيع القدر ان اول غلاء وقع بمصركان في زمن الملك السابع عشر من مابين الممقوفتين انيته من نستةوچ وهوغير موجود فيتتي ا و ب و حاطالله قلن اي حفظها وتعهدها لسان العرب لابن منظور حوط المجيحة المهلكة وجاح يمعني اهلك جاح الله ماله اهلكه يالجاءحة والجاءحة,1,1657,الوافي,ترجمة,الدرر,المخطوط
061,2,المصيبة العظمي لسان العرب لابن منظور جوح في نسحة ا منفردا وما اءبته من نسخة ب وهو الافضل في نسخة ا الاكرار وما اثيته من نسخة ب ونسخةو چ انظر الحديث عنه في صبح الاعفي للقلقغندي يوجد في هامش الصفحة بنخة و ا مقابل هذا الاسم بنفس خطالمتن ما تصه براهيم بن وصيف شاه كتاب جليل كثير الفواءد ف اخبار,1,1657,الوافي,ترجمة,الدرر,المخطوط
062,2,حتي يقال ان الملك تزوج ثلثماءة امراة يبفي الولد فلم ولد له وذلك مقدمة الطوفان انظركتاب صبح الاعفي للقلقفندي اي ان افروس بن مناوش بن هرجيب من شهلوف وقيل سملوق انظرصبح الاعمي للقلقشتدي في تسخة ب فهلوق عقمت الارحام اي لا تلد ومصدره العقم والعقم بفتح العين وضمها انظر لسان العرب لابن متظور عقم في تخة وب فرعان ين مسود,1,1657,الوافي,ترجمة,الدرر,المخطوط
062,3,وقال القلقفندي ف صبح الاعشي وفي زمنه كان الطوفان وهلاك فيمن هلاك الهرج اي الفتنة وهذا ما يتتاسب مع المرقف في هامش الصفة ينخة ا مقابل هذه الكلمة مكترب اول من يسمي فرعان ذكر القلقشندي وهو اول من لقب بلقب الفراعتة انظر صبح الاعشي غلاءفي زمن اتربب بن مصريم م وقع غلاء في زمن اتريبل بن مصريم ثالث عشر ملوك,1,1657,الوافي,ترجمة,الدرر,المخطوط
063,2,وتحتها غلال كانها وضعت حينيذ وهي باقية في سنبلها لم تدرس فكشوا ثمانيةشهورفي نقلها وزرعرامنها وتقوتوا تحوخمس سنين فاخيره اخوه تتسب اليه مدينة اتريب القديمة وهي علي القرب من بنها العسل من اعال الشرقية بالوجه البحري وهو الذي بناها انظر صبح الاعثي للقلقشندي والمواعظ والاعتبار للمقريزي ما بين المعقرقعين ايبتها من نخة ب كما يوجد بهامش الصقحة في نسخة ا,1,1657,الوافي,ترجمة,الدرر,المخطوط
063,3,العبارة التالية عدم جريان التيل اربعين سنة في تختي وب و جه لوز وما ايتهمن نسخة ا اتظر شيقا من ترجة لفوبن سام واخيه ارفخفذ بن سام في مروج الذعب للمعودي يوجد بهامش الصفحة في نسخة ا فقط هذه العبارة ونصها غريبة جدا تذكر صا بن مصريم ان اولاد قابيل بن ادم عليه السلام لما اتتشروا في الارض وملكوها علموا,1,1657,الوافي,ترجمة,الدرر,المخطوط
064,0,في اسم الملك فقيل ا ا ل ا ا لا ال وتضمنته التوراة واشتهر ذكره في كتب الامم الماضية والخالية فاغني عن ذكره في نسخة ا صابر بن مصريم ولعله تحريف من الناسخ وما انبته من نستة ب وقد ذكره القلقشندي مصاء ضمن الملوك الذين ملكوا البلاد بعد الطوفان انظر صبح الاعشي وفكر المقريزي انه صار الذي تنب اليه مدينة,1,1657,الوافي,ترجمة,الدرر,المخطوط
064,1,صا شرقي القرقة الغريية من النيل وبها الاثار العظيمة اظر المواعظ والاعتبار قال القلشندي صا بن قطيم بن مصربن بصربن حام بن ترح عليه السلام احد ملرك مصربعد الطوفان وهر الذي يني مدينة وصاء بالير الغريي من النيل صبح الاعشي الدانق لفظ قديم في اللغة الفارسية القديمة واللغة الارمينية ايضا وقد ايقي عليه العرب في الجاهلية لا واستعلوه للدلالة علي,1,1657,الوافي,ترجمة,الدرر,المخطوط
064,2,وزن معين وفي النقد ايضا وقد استعمل في العصر الاسلامي كوحدة تقدية ها تساوي سدس الدرهم والدرهم في حينه وحدة من الفضة قيمته تساوي من الدينار الاسلامي المعرب الذي يزن جرام ذهب انظر في ذلك القاموس الاسلامي لاحمد عطية الله مكتية النهضة المصرية التاهرة وانظر معجم المصطلحات والالفاظ التاريخية لمصطفي عدالكريم المطيب مءسسة الرسالة ييروت م ص قال القلقعندي ثم,1,1657,الوافي,ترجمة,الدرر,المخطوط
065,1,بمصر في تسخة ا الغلا والجدب وما اءيته من نسخة ب وهو الاصح والذي يتفق مع السياق اللفوي في تسخة ا الحيوانات وما اءيته من ب وهو المقصود لاتساقه مع لفظ الثمار التالي له ويدليل ورود لفط الحيوانات قي اخر الجملة سورة الاعراف اية سورة الاعراف اية في ا من انواع البلاد والمحن عمت المعمور وما اثبته من تسخة ب,1,1657,الوافي,ترجمة,الدرر,المخطوط
065,3,ولاية يزيد ين اتم المهليي الذي ولي الديار المصرية سنة ه للخليفة ايي جصفر المنصور ففي سنة ه حصل في ايامه غلاء عظيم بسبب عدم زيادة النيل وشرقت الاراضي وانتهت زيادة النيل الي ستة عشر ذراعا اتظر جواهر البحور ورقاءع الدهرر لاين وصيف شاه ص غلاء في زمن امارة اوتوجور بن الاخشيد ثم وقع غلاء في الدولة الاخشيدية في محرم,1,1657,الوافي,ترجمة,الدرر,المخطوط
066,0,ثم طلب قلم يوجد وثارت الرعية وكسروا مثبر الجامع بمصر في تسخة ا ثم وقع الغلا في دولة الاخشيد وما اءيته من نسخة ب وهو اكثر اتسجاما مع المتن تتسب الدولة الاخشيدية الي الاخشيد وهو اللقب الذي منحه الخليفة العباسي الراضي بالله لمحمد بن طقج في سنة ه وقيل في سنة ه انظر مصرفي عصر الاخشيديين لسيدة اسماعيل كاشف الهيثة,1,1657,الوافي,ترجمة,الدرر,المخطوط
066,1,المصرية العامة للكتاب طبعة م ص في تسخة ا كافور وهو خطا والذي اثيته من نسخة ب وهو الصحيح لانه من المعروف ان حكم اونوجور امتد من الي ه واما حكم كافور فقد بدا ستة ه انظر ولاة مصر لكندي ص في تسخة ا فمنسه وما انيته من تستهب العتمة الثلث الاول من الليل بعد غيجوية الغفق او وقت صلاة,1,1657,الوافي,ترجمة,الدرر,المخطوط
066,2,العشاء انظر لسان العرب لاين متظور عتم الجامع العتيق هو جامع عروبن العاص في تسا وفيسنة ه احدي واربعين وثلاثماثة كثرالفار ومااييته من نخة ترع العر اي ارتفع السعر الويية مكيال للحبوب سعته سدس الاردب وقيل من المكاييل قدره اربعة وعشرون مدا اظر معجم الالفاظ التاريخية لمحمد احمد وهمان طيعة وار الفكر مشق م ص غلاء في زمن امارة علي,1,1657,الوافي,ترجمة,الدرر,المخطوط
067,1,مده وقلت تولي هذا الامير الحكم في مصرسنة ه بعد اخيه اوتوجور انظر النجوم الزاهرة لابن تفري پردي مابنالعقرفتين واردفي تف ب و وساقعمنتسخةوا ما بين المعقوفعين زيادة يقتضيها السياق من كحاب النجوم الزاهرة لابن تغري يردي طيعة القاهرة ما بين المعقوفتين انيته من تخة و ب دون غيرها مابينالعقرفتين انبته من نقهوب قال اين تفري بردي وفيستة هكان يبلغ,1,1657,الوافي,ترجمة,الدرر,المخطوط
067,2,الزيادة في امر الغيل ستة عمر ذراعا وغمةعفر اصبعا اتظر النجوم الزاهرة ما بين الممقوفين انيته من نسخة و ا دون غيرها قال ان تغري بردي في النجوم الزاهرة وخصةعشراصبعا قال اين تفري يردي ومبلغ الزيادة اربعة عمر اصبعا النجوم الزاهرة جريته وفي ستة ست وخمسين لم يبلغ النيل سوي اثني عشر ذراعا واصابع ولم يقع مثل ذلك في الدولة,1,1657,الوافي,ترجمة,الدرر,المخطوط
068,0,في زيادته غير انتي عمر راعا وتسعة عشر اصيعا ثم انه هبط فشرقت الارض ووقع غلاء بسبب دلك انظر جواهر اليحور ص هو ابو المسك كافور الحبفي الاسود الخادم الاخشيدي صاحب الديار المصرية اشتراه الاخشيد وتقدم عنده تي صار من اكبر قواده لعقله ورايه وشجاعته وقد توفي سنة ه اتظر شذرات الذهب لاين العماد يوجد بهامش الصفحة في نسخة ا,1,1657,الوافي,ترجمة,الدرر,المخطوط
070,0,وان يحملوا ما بايديهم منها الي دار الضرب واجلوا ثلاثا فشق ذلك علي المقصود بالدراهم المعاملة هنا ما كان منها مضروبا حب قوانين الدولة القاءحة متداولا پين الناس ل قيته الرسية اتظر صبح الاعفي للقلقشندي في تخة ا الزايدة وما انيته من نستة ب وتسخهوچه الديتار لفظظ معرب عن اليوناتية ديناريوس والدينار عحلة ذهبية اسلامية صحت في عهد اخليفة الاموي,1,1657,الوافي,ترجمة,الدرر,المخطوط
070,1,عبد الملك بن مروان سنةههتحت اسم الدينار العريي الاسلامي ليحل محل العملات الييزنطية ل والقارسية التي كاتت تتعامل بها الدولة وذلان ضمن سياسة الععريب التي من ضمنها تعريب اجهاز المالي كان وزنه جرام من الذهب اتظر القامرس الاسلامي لاحمد عطية الله وانظر معجم المصطلحات والالقاب التاريخية لمصطفي عبد الكريم الخطيي ص اما الدرهم فهو نوع من اتواع العحلات المعدنية التي,1,1657,الوافي,ترجمة,الدرر,المخطوط
070,2,تداولها العرب الملمون متذ يداية العحي الاسلامي وهو مصكوك من الفضة والنحاس يعود اقدمها الي اخليفة عمرين الخطاي رضي الله عنه وكان وزنه جرام انظر القاموس الاسلامي لاحمد عطية الله ومعجم المصطلحات والالقاب التاريخية لمصطفي عبد الكريم الخطيب ص مابين المعقرفعين ساقط من ا وما انبته من نسختي بب و چ كان مترييت المال في مصر منذ الفتح الاسلامي بالجامع,1,1657,الوافي,ترجمة,الدرر,المخطوط
071,3,ما يستجد ضريه من التقود بانواعها في عهد من العهود تمييزا لها في الغالب من النقود العتق انظر صبع الاعشي للقلقشندي ي في نسخة ا الزيادة وما اءيته من نسخة ب مابين المعقوقتين زبادة من نسخة ب ف نسخة ا السيوط وما اثبته من النسخ الاخري حيث المقرد سوط ويجع علي سياط واسواط ققط انظر لسان العرب لابن منظور سوط,1,1657,الوافي,ترجمة,الدرر,المخطوط
072,3,النسخ كظ الناس الجرع اي ملاهم غيظا اتظر لسان العرب لاين منظرر كظظ في تسخة ا وتسخة چ للحاكم وما اييته من تسخة ب يقع هذا الجامع في جنوبي الفسطاط ويححل اسم قييلة راشدة التي تزلت في هذا المكان ابان الفتع العريي الاسلامي لمصر وقد يناه الخليقة الحاكم بامر الله سنة ه اتظر صبح الاعفي للقلقشندي والمواعظ والاعتبار للمقريزي التسيية,1,1657,الوافي,ترجمة,الدرر,المخطوط
073,4,في بعض الاحيان بمعني الباب وقدكان جامع دمفق ياب اسمه الزياوة يقول المقريزي في اتماظ الحنفا علي رسم من تقدمه من القضاة ازمنة المساغب ازمة المجاعات فالسغب هو الجوع والمفية اي المجاعة انظر لسان العرب لاين ر سعب في وا يعسي بد وفي ب مربه وفيوج يففييه في تخةو ا فافانت وما اثيته من تسفي وب و العادة جارية باستخدام,1,1657,الوافي,ترجمة,الدرر,المخطوط
074,4,الخشب والصابون والحديد والرصاص والعسل وشبه ذلك فامضي السلطان له ما راه واستمر ذلك ودام الرخاء مدة سنين ما بين المعقوقتين زيادة من تسخة ب اشار المقريزي في كتاب له شذور العقود ص الي هذا النوع من النقد فقال ان الخليفة المامون لا العباسي هو الذي استحدثه وسماه بذلك وانه ضرب منه دراهم ودنانير في تتة ا يبيعونه وما اءيته,1,1657,الوافي,ترجمة,الدرر,المخطوط
075,0,من تسخة ي اليوار الهلاك بار فلان يبرر بورا اي هلك واياره الله اهلكه لسان العرب لاين متظور بوره في تسخة ا فامضي له ذلك وما انيته من نستة ب ما بين المعقرفتين زيادة من نسخة ب وساقطمن يافي النخ وانظراتعاظ الحنفاللمقريزي ثم قصر النيل بعد خمس سنوات من نظره في سنة سبع واربعين وليس في المخازن الا جرايات من,1,1657,الوافي,ترجمة,الدرر,المخطوط
075,4,والخسمات وتواليها ويطالب بما يقتضيه تخريج ما يرفعه من الحساي اللازم له لا الحاصل وهذا اللفظ قديم الاستعمال في مصطلح الدواوين الاسلامية وقد ايدل بلفظ الصيرفي بعدءذ ايام الدولة الفاطمية انظر قوانين الدواوين لابن مماتي ص الروزنامج لقخل فارسي معناه السجل اليومي انظر معجم فاهتك فارسي امروز تاليف غلام حسين صدري انشار الطبعة الثانية ايران ه ص البيادر جمع بيدر,1,1657,الوافي,ترجمة,الدرر,المخطوط
